2025-08-20 08:37:24,893 serial_wrap.py, line 83, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-08-20 08:37:27,323 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,323 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,323 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,324 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,324 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,325 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,325 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,326 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,326 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,327 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,327 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,328 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,328 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,329 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,329 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,330 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,330 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,331 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,331 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,332 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,332 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,332 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,333 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,334 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,334 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,335 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,336 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,336 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,337 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,337 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,337 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,338 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,339 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,339 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,340 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,340 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,340 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,341 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,341 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,342 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,342 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,343 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,343 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,344 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,344 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,345 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,345 camera.py, line 82, ERROR:read:读取图像错误!!!!
